"crossdefense_direction","crossdefense_helped","crossdefense_phase","crossdefense_defense","crossdefense_time","crossdefense_successfail","defense0Position","startDefense","allianceColor","defense5Position","matchNumber","defense1Position","withBall","defense4Position","defense3Position","scouterName","defense2Position","teamNumber","scouterNotes","Shoot_goal","Shoot_location","Shoot_timestamp","Shoot_phase","Shoot_goalHeight","Shoot_defender","Shoot_scoremiss","loadBall_location","loadBall_phase","loadBall_floorair","loadBall_successfail","dropball_location","dropball_fumbleeject","challenge_phase","challenge_successfail","Defend_goal","Defend_phase","Defend_blockscore","challenge_partOfBatter","Reach_phase","Reach_defense","climb_partOfBatter","climb_phase","climb_successfail"
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!","Center","outerworks",1456889649000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","3",3800,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","3",4800,"fail","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,"teleop","fail",,,,,,,,,
"cross","false","teleop","1",2600,"fail","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","courtyard",1456889986000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1400,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",1500,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
"back","false","teleop","1",2700,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",2900,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","outerworks",1456889987000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1600,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","batter",1456889987000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2700,"fail","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,"neutralzone","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","outerworks",1456889987000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2700,"fail","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","courtyard",1456889987000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1600,"success","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!","Left","outerworks",1456889987000,"teleop","High","true","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1800,"fail","SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","113","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","These are notes!",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
"cross","false","teleop","1",2500,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","","Left","batter",1456890090000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1900,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",1300,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","","Left","batter",1456890091000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1200,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","2",9600,"fail","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","","Left","batter",1456890091000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1600,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","2",8300,"fail","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","","Left","outerworks",1456890091000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1900,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","2",9800,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","","Left","batter",1456890091000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1300,"success","SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","142","LowBar","true","Drawbridge","Ramparts","Kobe","Cheval","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",2400,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","","Left","outerworks",1456889693000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2300,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",1600,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","","Left","outerworks",1456889693000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1500,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,"neutralzone","eject",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","5",6800,"fail","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
"back","false","teleop","5",6000,"fail","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","5",3600,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","","Center","outerworks",1456889694000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","5",3200,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","5",6600,"fail","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","","Center","courtyard",1456889694000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","5",6400,"success","SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","31","LowBar","true","SallyPort","Moat","Kobe","Portcullis","10","","Center","outerworks",1456889694000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"cross","false","teleop","1",1600,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","outerworks",1456889834000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1100,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","batter",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2900,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","courtyard",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1400,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","outerworks",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1700,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","outerworks",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1100,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","outerworks",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2900,"fail","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","outerworks",1456889835000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1700,"fail","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","","Left","courtyard",1456889835000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",1800,"success","SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RoughTerrain","71","LowBar","true","Drawbridge","Ramparts","Kobe","Portcullis","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","1",2800,"success","SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","","Left","outerworks",1456889871000,"teleop","High","true","score",,,,,,,,,,,,,,,,,
"back","false","teleop","1",2000,"success","SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","LowBar","red","RockWall","81","LowBar","true","Drawbridge","Moat","Kobe","Cheval","10","",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
